account_name,date,value
00XX_E_V_US,2012-10-01,5.0
00XX_E_V_US,2012-11-01,5.0
00XX_E_V_US,2012-12-01,5.0
00XX_E_V_US,2013-01-01,5.0
00XX_E_V_US,2013-02-01,5.0
00XX_E_V_US,2013-03-01,5.0
00XX_E_V_US,2013-04-01,5.0
00XX_E_V_US,2013-05-01,5.0
00XX_E_V_US,2013-06-01,5.0
00XX_E_V_US,2013-07-01,5.0
00XX_E_V_US,2013-08-01,5.0
00XX_E_V_US,2013-09-01,5.0
00XX_E_V_US,2013-10-01,5.0
00XX_E_V_US,2013-11-01,5.0
00XX_E_V_US,2013-12-01,5.0
00XX_E_V_US,2014-01-01,5.0
00XX_E_V_US,2014-02-01,5.0
00XX_E_V_US,2014-03-01,5.0
00XX_E_V_US,2014-04-01,5.0
00XX_E_V_US,2014-05-01,5.0
00XX_E_V_US,2014-06-01,5.0
00XX_E_V_US,2014-07-01,5.0
00XX_E_V_US,2014-08-01,5.0
00XX_E_V_US,2014-09-01,5.0
00XX_E_V_US,2014-10-01,5.0
00XX_E_V_US,2014-11-01,5.0
00XX_E_V_US,2014-12-01,5.0
00XX_E_V_US,2015-01-01,5.0
00XX_E_V_US,2015-02-01,5.0
00XX_E_V_US,2015-03-01,5.0
00XX_P_US,2012-01-01,510.0
00XX_P_US,2012-02-01,486.0
00XX_P_US,2012-03-01,474.0
00XX_P_US,2012-04-01,530.0
00XX_P_US,2012-05-01,514.0
00XX_P_US,2012-06-01,562.0
00XX_P_US,2012-07-01,536.0
00XX_P_US,2012-08-01,563.0
00XX_P_US,2012-09-01,565.0
00XX_P_US,2012-10-01,530.0
00XX_P_US,2012-11-01,524.0
00XX_P_US,2012-12-01,480.0
00XX_P_US,2013-01-01,425.0
00XX_P_US,2013-02-01,395.0
00XX_P_US,2013-03-01,484.0
00XX_P_US,2013-04-01,517.0
00XX_P_US,2013-05-01,535.0
00XX_P_US,2013-06-01,539.0
00XX_P_US,2013-07-01,527.0
00XX_P_US,2013-08-01,530.0
00XX_P_US,2013-09-01,506.0
00XX_P_US,2013-10-01,483.0
00XX_P_US,2013-11-01,473.0
00XX_P_US,2013-12-01,424.0
00XX_P_US,2014-01-01,349.0
00XX_P_US,2014-02-01,350.0
00XX_P_US,2014-03-01,360.0
00XX_P_US,2014-04-01,394.0
00XX_P_US,2014-05-01,409.0
00XX_P_US,2014-06-01,464.0
00XX_P_US,2014-07-01,451.0
00XX_P_US,2014-08-01,454.0
00XX_P_US,2014-09-01,500.0
00XX_P_US,2014-10-01,456.0
00XX_P_US,2014-11-01,441.0
00XX_P_US,2014-12-01,440.0
00XX_P_US,2015-01-01,416.0
00XX_P_US,2015-02-01,420.0
00XX_P_US,2015-03-01,481.0
00XX_T_US,2012-01-01,16898.0
00XX_T_US,2012-02-01,16703.0
00XX_T_US,2012-03-01,19303.0
00XX_T_US,2012-04-01,21737.0
00XX_T_US,2012-05-01,23122.0
00XX_T_US,2012-06-01,25077.0
00XX_T_US,2012-07-01,25812.0
00XX_T_US,2012-08-01,26935.0
00XX_T_US,2012-09-01,26501.0
00XX_T_US,2012-10-01,27771.0
00XX_T_US,2012-11-01,24338.0
00XX_T_US,2012-12-01,21860.0
00XX_T_US,2013-01-01,20401.0
00XX_T_US,2013-02-01,20279.0
00XX_T_US,2013-03-01,23883.0
00XX_T_US,2013-04-01,26333.0
00XX_T_US,2013-05-01,27976.0
00XX_T_US,2013-06-01,29795.0
00XX_T_US,2013-07-01,30732.0
00XX_T_US,2013-08-01,31565.0
00XX_T_US,2013-09-01,31120.0
00XX_T_US,2013-10-01,32103.0
00XX_T_US,2013-11-01,28767.0
00XX_T_US,2013-12-01,26264.0
00XX_T_US,2014-01-01,24487.0
00XX_T_US,2014-02-01,23867.0
00XX_T_US,2014-03-01,28360.0
00XX_T_US,2014-04-01,31002.0
00XX_T_US,2014-05-01,32678.0
00XX_T_US,2014-06-01,34143.0
00XX_T_US,2014-07-01,34539.0
00XX_T_US,2014-08-01,34510.0
00XX_T_US,2014-09-01,34604.0
00XX_T_US,2014-10-01,35218.0
00XX_T_US,2014-11-01,32033.0
00XX_T_US,2014-12-01,29418.0
00XX_T_US,2015-01-01,27167.0
00XX_T_US,2015-02-01,27329.0
00XX_T_US,2015-03-01,32097.0
00XX_V_US,2012-01-01,16389.0
00XX_V_US,2012-02-01,16218.0
00XX_V_US,2012-03-01,18829.0
00XX_V_US,2012-04-01,21207.0
00XX_V_US,2012-05-01,22608.0
00XX_V_US,2012-06-01,24515.0
00XX_V_US,2012-07-01,25276.0
00XX_V_US,2012-08-01,26371.0
00XX_V_US,2012-09-01,25937.0
00XX_V_US,2012-10-01,27241.0
00XX_V_US,2012-11-01,23814.0
00XX_V_US,2012-12-01,21380.0
00XX_V_US,2013-01-01,19977.0
00XX_V_US,2013-02-01,19884.0
00XX_V_US,2013-03-01,23399.0
00XX_V_US,2013-04-01,25816.0
00XX_V_US,2013-05-01,27441.0
00XX_V_US,2013-06-01,29256.0
00XX_V_US,2013-07-01,30205.0
00XX_V_US,2013-08-01,31034.0
00XX_V_US,2013-09-01,30614.0
00XX_V_US,2013-10-01,31620.0
00XX_V_US,2013-11-01,28295.0
00XX_V_US,2013-12-01,25840.0
00XX_V_US,2014-01-01,24138.0
00XX_V_US,2014-02-01,23517.0
00XX_V_US,2014-03-01,28000.0
00XX_V_US,2014-04-01,30608.0
00XX_V_US,2014-05-01,32269.0
00XX_V_US,2014-06-01,33679.0
00XX_V_US,2014-07-01,34088.0
00XX_V_US,2014-08-01,34057.0
00XX_V_US,2014-09-01,34104.0
00XX_V_US,2014-10-01,34762.0
00XX_V_US,2014-11-01,31592.0
00XX_V_US,2014-12-01,28978.0
00XX_V_US,2015-01-01,26751.0
00XX_V_US,2015-02-01,26909.0
00XX_V_US,2015-03-01,31616.0
01XX_E_MPCT_US,2012-01-01,1.4
01XX_E_MPCT_US,2012-02-01,2.3
01XX_E_MPCT_US,2012-03-01,1.4
01XX_E_MPCT_US,2012-04-01,1.9
01XX_E_MPCT_US,2012-05-01,1.9
01XX_E_MPCT_US,2012-06-01,1.6
01XX_E_MPCT_US,2012-07-01,2.1
01XX_E_MPCT_US,2012-08-01,2.2
01XX_E_MPCT_US,2012-09-01,1.6
01XX_E_MPCT_US,2012-10-01,2.0
01XX_E_MPCT_US,2012-11-01,2.0
01XX_E_MPCT_US,2012-12-01,1.7
01XX_E_MPCT_US,2013-01-01,2.2
01XX_E_MPCT_US,2013-02-01,1.7
01XX_E_MPCT_US,2013-03-01,1.8
01XX_E_MPCT_US,2013-04-01,1.5
01XX_E_MPCT_US,2013-05-01,1.5
01XX_E_MPCT_US,2013-06-01,2.9
01XX_E_MPCT_US,2013-07-01,2.0
01XX_E_MPCT_US,2013-08-01,1.6
01XX_E_MPCT_US,2013-09-01,1.8
01XX_E_MPCT_US,2013-10-01,2.5
01XX_E_MPCT_US,2013-11-01,1.7
01XX_E_MPCT_US,2013-12-01,1.3
01XX_E_MPCT_US,2014-01-01,2.3
01XX_E_MPCT_US,2014-02-01,1.9
01XX_E_MPCT_US,2014-03-01,2.8
01XX_E_MPCT_US,2014-04-01,3.3
01XX_E_MPCT_US,2014-05-01,1.7
01XX_E_MPCT_US,2014-06-01,2.6
01XX_E_MPCT_US,2014-07-01,1.5
01XX_E_MPCT_US,2014-08-01,1.4
01XX_E_MPCT_US,2014-09-01,1.5
01XX_E_MPCT_US,2014-10-01,1.4
01XX_E_MPCT_US,2014-11-01,1.4
01XX_E_MPCT_US,2014-12-01,1.6
01XX_E_MPCT_US,2015-01-01,1.3
01XX_E_MPCT_US,2015-02-01,1.8
01XX_E_MPCT_US,2015-03-01,1.8
01XX_E_MPCV_US,2012-01-01,1.4
01XX_E_MPCV_US,2012-02-01,2.3
01XX_E_MPCV_US,2012-03-01,1.3
01XX_E_MPCV_US,2012-04-01,1.9
01XX_E_MPCV_US,2012-05-01,1.9
01XX_E_MPCV_US,2012-06-01,1.7
01XX_E_MPCV_US,2012-07-01,2.2
01XX_E_MPCV_US,2012-08-01,2.3
01XX_E_MPCV_US,2012-09-01,1.7
01XX_E_MPCV_US,2012-10-01,2.1
01XX_E_MPCV_US,2012-11-01,2.0
01XX_E_MPCV_US,2012-12-01,1.8
01XX_E_MPCV_US,2013-01-01,2.3
01XX_E_MPCV_US,2013-02-01,1.7
01XX_E_MPCV_US,2013-03-01,1.8
01XX_E_MPCV_US,2013-04-01,1.6
01XX_E_MPCV_US,2013-05-01,1.5
01XX_E_MPCV_US,2013-06-01,2.7
01XX_E_MPCV_US,2013-07-01,2.1
01XX_E_MPCV_US,2013-08-01,1.6
01XX_E_MPCV_US,2013-09-01,1.8
01XX_E_MPCV_US,2013-10-01,2.6
01XX_E_MPCV_US,2013-11-01,1.7
01XX_E_MPCV_US,2013-12-01,1.3
01XX_E_MPCV_US,2014-01-01,2.4
01XX_E_MPCV_US,2014-02-01,1.9
01XX_E_MPCV_US,2014-03-01,2.8
01XX_E_MPCV_US,2014-04-01,3.4
01XX_E_MPCV_US,2014-05-01,1.7
01XX_E_MPCV_US,2014-06-01,2.6
01XX_E_MPCV_US,2014-07-01,1.5
01XX_E_MPCV_US,2014-08-01,1.4
01XX_E_MPCV_US,2014-09-01,1.5
01XX_E_MPCV_US,2014-10-01,1.4
01XX_E_MPCV_US,2014-11-01,1.4
01XX_E_MPCV_US,2014-12-01,1.7
01XX_E_MPCV_US,2015-01-01,1.3
01XX_E_MPCV_US,2015-02-01,1.8
01XX_E_MPCV_US,2015-03-01,1.9
01XX_E_T_US,2012-01-01,4.4
01XX_E_T_US,2012-02-01,4.2
01XX_E_T_US,2012-03-01,3.9
01XX_E_T_US,2012-04-01,3.7
01XX_E_T_US,2012-05-01,3.5
01XX_E_T_US,2012-06-01,3.3
01XX_E_T_US,2012-07-01,3.1
01XX_E_T_US,2012-08-01,3.0
01XX_E_T_US,2012-09-01,2.9
01XX_E_T_US,2012-10-01,2.8
01XX_E_T_US,2012-11-01,2.8
01XX_E_T_US,2012-12-01,2.8
01XX_E_T_US,2013-01-01,2.8
01XX_E_T_US,2013-02-01,2.8
01XX_E_T_US,2013-03-01,2.9
01XX_E_T_US,2013-04-01,2.9
01XX_E_T_US,2013-05-01,2.9
01XX_E_T_US,2013-06-01,2.9
01XX_E_T_US,2013-07-01,2.9
01XX_E_T_US,2013-08-01,3.0
01XX_E_T_US,2013-09-01,3.0
01XX_E_T_US,2013-10-01,3.1
01XX_E_T_US,2013-11-01,3.2
01XX_E_T_US,2013-12-01,3.2
01XX_E_T_US,2014-01-01,3.4
01XX_E_T_US,2014-02-01,3.6
01XX_E_T_US,2014-03-01,3.6
01XX_E_T_US,2014-04-01,3.7
01XX_E_T_US,2014-05-01,3.7
01XX_E_T_US,2014-06-01,3.7
01XX_E_T_US,2014-07-01,3.7
01XX_E_T_US,2014-08-01,3.6
01XX_E_T_US,2014-09-01,3.6
01XX_E_T_US,2014-10-01,3.5
01XX_E_T_US,2014-11-01,3.3
01XX_E_T_US,2014-12-01,3.2
01XX_E_T_US,2015-01-01,3.0
01XX_E_T_US,2015-02-01,2.7
01XX_E_T_US,2015-03-01,2.6
01XX_E_V_US,2012-01-01,4.6
01XX_E_V_US,2012-02-01,4.4
01XX_E_V_US,2012-03-01,4.1
01XX_E_V_US,2012-04-01,3.8
01XX_E_V_US,2012-05-01,3.6
01XX_E_V_US,2012-06-01,3.4
01XX_E_V_US,2012-07-01,3.2
01XX_E_V_US,2012-08-01,3.1
01XX_E_V_US,2012-09-01,3.0
01XX_E_V_US,2012-10-01,2.9
01XX_E_V_US,2012-11-01,2.9
01XX_E_V_US,2012-12-01,2.9
01XX_E_V_US,2013-01-01,2.9
01XX_E_V_US,2013-02-01,2.9
01XX_E_V_US,2013-03-01,2.9
01XX_E_V_US,2013-04-01,3.0
01XX_E_V_US,2013-05-01,2.9
01XX_E_V_US,2013-06-01,3.0
01XX_E_V_US,2013-07-01,2.9
01XX_E_V_US,2013-08-01,2.9
01XX_E_V_US,2013-09-01,3.0
01XX_E_V_US,2013-10-01,3.0
01XX_E_V_US,2013-11-01,3.1
01XX_E_V_US,2013-12-01,3.2
01XX_E_V_US,2014-01-01,3.3
01XX_E_V_US,2014-02-01,3.5
01XX_E_V_US,2014-03-01,3.6
01XX_E_V_US,2014-04-01,3.7
01XX_E_V_US,2014-05-01,3.7
01XX_E_V_US,2014-06-01,3.7
01XX_E_V_US,2014-07-01,3.7
01XX_E_V_US,2014-08-01,3.7
01XX_E_V_US,2014-09-01,3.7
01XX_E_V_US,2014-10-01,3.5
01XX_E_V_US,2014-11-01,3.4
01XX_E_V_US,2014-12-01,3.2
01XX_E_V_US,2015-01-01,3.0
01XX_E_V_US,2015-02-01,2.8
01XX_E_V_US,2015-03-01,2.6
01XX_T_US,2012-01-01,776.0
01XX_T_US,2012-02-01,792.0
01XX_T_US,2012-03-01,886.0
01XX_T_US,2012-04-01,901.0
01XX_T_US,2012-05-01,909.0
01XX_T_US,2012-06-01,890.0
01XX_T_US,2012-07-01,925.0
01XX_T_US,2012-08-01,937.0
01XX_T_US,2012-09-01,901.0
01XX_T_US,2012-10-01,986.0
01XX_T_US,2012-11-01,934.0
01XX_T_US,2012-12-01,999.0
01XX_T_US,2013-01-01,954.0
01XX_T_US,2013-02-01,1014.0
01XX_T_US,2013-03-01,1045.0
01XX_T_US,2013-04-01,1070.0
01XX_T_US,2013-05-01,1115.0
01XX_T_US,2013-06-01,1090.0
01XX_T_US,2013-07-01,1134.0
01XX_T_US,2013-08-01,1182.0
01XX_T_US,2013-09-01,1181.0
01XX_T_US,2013-10-01,1246.0
01XX_T_US,2013-11-01,1266.0
