account_name,slope,median_predicted_value,tenure,avg_revenue,slope_scaled,cluster_label
00XX_E_MPCP_US,1.2619142654012992e-29,4.647621142615984,45,4.647621142615984,-0.15092567957780978,medium
00XX_E_MPCT_US,1.2619142654012992e-29,4.647621142615984,45,4.647621142615984,-0.15092567957780978,medium
00XX_E_MPCV_US,0.0,0.0,45,0.0,-0.15092567957780978,medium
00XX_E_P_US,0.0016208455548895545,5.933810038630363,45,5.933810038630363,-0.14924063520128783,medium
00XX_E_T_US,0.0016492759290637053,5.962464705827691,45,5.962464705827691,-0.14921107875034775,medium
00XX_E_V_US,0.0,0.0,45,0.0,-0.15092567957780978,medium
00XX_P_US,0.054141434119758296,473.8321009477687,45,472.99064374446453,-0.09463979914637728,medium
00XX_T_US,-0.7036523444807413,27444.241922588873,45,27461.498247328185,-0.8824484471338786,low
00XX_V_US,-0.7580054935412848,26950.680598557447,45,26969.05159920292,-0.9389544281599171,low
01XX_E_MPCT_US,0.0,1.888888888888889,45,1.888888888888889,-0.15092567957780978,medium
01XX_E_MPCV_US,-3.154785663503248e-30,1.916666666666667,45,1.916666666666667,-0.15092567957780978,medium
01XX_E_T_US,0.0001910001654788665,2.8272355776153377,45,2.8352783502788594,-0.1507271142340705,medium
01XX_E_V_US,0.0008030499120309108,2.6651535064575933,45,2.682635852268248,-0.1500908222811031,medium
01XX_T_US,0.7548292879062971,1740.2354290141718,45,1740.2354290141718,0.6338010594897154,medium
01XX_V_US,0.7661858295407515,1704.4871231788823,45,1704.4871231788823,0.6456074136239184,medium
02XX_E_MPCP_US,0.0,2.736111111111112,45,2.736111111111112,-0.15092567957780978,medium
02XX_E_MPCT_US,-0.0010836052552951113,1.0152736389618109,45,1.0152736389618109,-0.1520522045180155,medium
02XX_E_MPCV_US,0.0,1.3,45,1.3,-0.15092567957780978,medium
02XX_E_P_US,0.0,3.0,45,3.0,-0.15092567957780978,medium
02XX_E_T_US,-0.002091907235655758,1.3839061084469613,45,1.3839061084469613,-0.15310044355394167,medium
02XX_E_V_US,-0.0025595815449690955,1.5908826607410855,45,1.5908826607410855,-0.15358664161431512,medium
02XX_P_US,0.0,653.0,45,653.0,-0.15092567957780978,medium
02XX_T_US,0.0,4072.259788815211,45,4072.259788815211,-0.15092567957780978,medium
02XX_V_US,-0.005517512579379653,3341.3682414314676,45,3341.5276605660033,-0.15666173105799314,medium
03XX_E_MPCP_US,-1.2619142654012992e-29,6.366666666666665,45,6.3666666666666645,-0.15092567957780978,medium
03XX_E_MPCT_US,0.0,1.4666556333144316,45,1.4666556333144316,-0.15092567957780978,medium
03XX_E_MPCV_US,-0.001109895151778865,1.3219792862455377,45,1.3220462344766555,-0.15207953571073504,medium
03XX_E_P_US,0.006221229080804016,8.769387305674101,45,8.68256816800688,-0.14445803863198386,medium
03XX_E_T_US,-0.0013071469980980666,1.94,45,1.9400000000000002,-0.15228460035331992,medium
03XX_E_V_US,-0.0015750358548804195,2.001969523407686,45,2.001969523407686,-0.15256309981324212,medium
03XX_P_US,0.0,168.0,45,168.0,-0.15092567957780978,medium
03XX_T_US,4.746025945406698,6100.147420921349,45,5971.211397110466,4.783081947496668,high
03XX_V_US,4.395576073065174,5969.512757019986,45,5861.435290833068,4.418751376418808,high
04XX_E_MPCP_US,0.0,2.10697182544749,45,2.10697182544749,-0.15092567957780978,medium
04XX_E_MPCT_US,0.0,1.3416666666666666,45,1.3416666666666666,-0.15092567957780978,medium
04XX_E_MPCV_US,0.0,1.6222222222222225,45,1.6222222222222225,-0.15092567957780978,medium
04XX_E_P_US,-6.309571327006496e-30,2.8,45,2.7999999999999994,-0.15092567957780978,medium
04XX_E_T_US,1.718733361762103e-06,2.0265671441065836,45,2.026514022384613,-0.15092389276846374,medium
04XX_E_V_US,3.0092607267127662e-05,2.6105506757683337,45,2.6103476534961483,-0.15089439505566798,medium
04XX_P_US,0.0,744.0,45,744.0,-0.15092567957780978,medium
04XX_T_US,0.3218300481432417,3331.858526609826,45,3326.8598591119503,0.183651486755913,medium
04XX_V_US,0.1530393117253025,2478.6819199141164,45,2475.7631890192783,0.0081752482259393,medium
05XX_E_MPCP_US,6.309571327006496e-30,2.8999999999999995,45,2.9,-0.15092567957780978,medium
05XX_E_MPCT_US,0.0,2.3972222222222217,45,2.3972222222222217,-0.15092567957780978,medium
05XX_E_MPCV_US,0.0,2.303091540359814,45,2.303091540359814,-0.15092567957780978,medium
05XX_E_P_US,0.0,3.0,45,3.0,-0.15092567957780978,medium
05XX_E_T_US,0.0,2.5,45,2.5,-0.15092567957780978,medium
05XX_E_V_US,0.00034386064746104634,3.3090893141760596,45,3.3071575261057404,-0.15056819921913925,medium
05XX_P_US,-1.4224845432658266,5741.323060326664,45,5702.750010138814,-1.6297523161371485,low
05XX_T_US,-1.0443252459140806,7234.182506906864,45,7185.561459180975,-1.2366147988025795,low
